"Name","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","playerid"
"Aaron Judge","NYY","696","404","95.8","118.4","14.9","106","26.2%","246","60.9%",".311",".305",".686",".706",".458",".463","15640"
"Yordan Alvarez","HOU","561","371","95.2","117.4","12.3","78","21.0%","222","59.8%",".306",".329",".613",".672",".427",".462","19556"
"Giancarlo Stanton","NYY","452","265","95.0","119.8","10.8","51","19.2%","138","52.1%",".211",".240",".462",".477",".327",".351","4949"
"Kyle Schwarber","PHI","669","379","93.3","114.8","19.2","76","20.1%","206","54.4%",".218",".237",".504",".535",".355",".375","16478"
"Joc Pederson","SFG","433","284","93.1","112.8","14.8","43","15.1%","147","51.8%",".274",".266",".521",".502",".373",".367","11899"
"Rafael Devers","BOS","614","444","93.1","113.7","11.3","51","11.5%","226","50.9%",".295",".282",".521",".497",".373",".361","17350"
"Shohei Ohtani","LAA","666","428","92.9","119.1","12.1","72","16.8%","213","49.8%",".273",".278",".519",".552",".370",".385","19755"
"Byron Buxton","MIN","382","225","92.9","113.5","21.4","37","16.4%","113","50.2%",".224",".242",".526",".509",".356",".358","14161"
"Matt Olson","ATL","699","450","92.9","116.8","16.1","61","13.6%","229","50.9%",".240",".248",".477",".467",".344",".347","14344"
"Eloy Jimenez","CHW","327","224","92.8","113.4","7.4","33","14.7%","123","54.9%",".295",".266",".500",".512",".370",".365","17484"
"Vladimir Guerrero Jr.","TOR","706","526","92.8","118.4","4.3","59","11.2%","265","50.4%",".274",".276",".480",".462",".351",".348","19611"
"Teoscar Hernandez","TOR","535","347","92.6","114.1","11.6","52","15.0%","183","52.7%",".267",".265",".491",".501",".348",".351","13066"
"Austin Riley","ATL","693","451","92.5","115.9","12.9","71","15.7%","229","50.8%",".273",".271",".528",".531",".377",".378","18360"
"J.D. Davis","- - -","365","198","92.4","112.7","12.3","32","16.2%","110","55.6%",".248",".245",".418",".471",".333",".353","16219"
"Trayce Thompson","- - -","255","128","92.3","111.9","16.3","21","16.4%","60","46.9%",".256",".251",".507",".496",".370",".366","9952"
"Matt Chapman","TOR","621","373","92.2","112.7","19.0","48","12.9%","189","50.7%",".229",".234",".433",".440",".331",".341","16505"
"Ji-Man Choi","TBR","419","236","92.2","111.1","10.6","28","11.9%","112","47.5%",".233",".236",".388",".413",".322",".337","5452"
"Yandy Diaz","TBR","558","414","92.2","114.3","7.7","20","4.8%","201","48.6%",".296",".288",".423",".424",".366",".365","16578"
"Jose Abreu","CHW","679","495","92.2","113.0","8.0","47","9.5%","256","51.7%",".304",".296",".446",".486",".361",".373","15676"
